state,age,i_urban,i_citizen,i_noenglish,i_only_english,i_drive_to_work,i_asian,i_black,i_indigenous,i_white,i_female,i_male,i_grad_college,i_grad_highschool,i_married,i_married_mult,personal_income,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting,weights
AL,60,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,2.32,1,1,442,454,12,7.060062754315409e-8
AL,63,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,5.2,1,1,382,409,27,6.971767238929336e-8
AL,65,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0.81,1,1,422,474,52,7.252313591072986e-8
AL,61,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,7.6,1,1,542,604,62,7.224687950796845e-8
AL,27,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0.68,1,1,562,569,7,7.152530399596837e-8
AL,57,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,3.67,1,1,332,354,22,7.007360846702485e-8
AL,54,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,2.58,1,1,567,594,27,7.1016749600058e-8
AL,32,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,4.03,1,1,302,339,37,7.010334995034295e-8
AL,47,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,2.46,1,1,482,494,12,7.434064606484789e-8
AL,28,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,9.5,1,1,482,499,17,7.11958295649003e-8
AL,29,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,2.5,1,1,422,439,17,7.001416254091186e-8
AL,38,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,4.4,1,1,422,469,47,7.106162824315564e-8
AL,50,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,5.7,1,1,447,454,7,7.110623380591924e-8
AL,61,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,7,1,1,407,424,17,7.137535629865423e-8
AL,45,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,8.6,1,1,452,464,12,7.06302703815103e-8
AL,32,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,3.8,1,1,422,439,17,7.409154130888021e-8
AL,50,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,7.54,1,1,422,439,17,7.065992553257177e-8
AL,47,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,2.65,1,1,512,529,17,7.077866936618847e-8
AL,50,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1.76,1,1,362,369,7,7.089761061261694e-8
AL,57,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,3,1,1,512,519,7,7.092737680842495e-8
AL,46,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,4.04,1,1,362,379,17,7.155533091591941e-8
AL,39,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,8,1,1,1265,1294,29,6.992508617617623e-8
AL,57,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,4.18,1,1,255,269,14,7.1016749600058e-8
AL,46,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,2.3,1,1,377,389,12,7.273616052312032e-8
AL,45,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,16.1,1,1,497,509,12,7.857263942926728e-8
AL,35,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,34.4,1,1,447,474,27,7.089761061261694e-8
AL,42,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,5.8,1,1,312,324,12,7.137535629865423e-8
AL,46,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,6,1,1,542,554,12,7.095715536817704e-8
AL,24,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0.61,1,1,452,474,22,7.310335710026362e-8
AL,24,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1.85,1,0,635,664,29,7.013310378734034e-8
AL,38,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,6.5,0,1,412,424,12,7.112194451878423e-8
AL,26,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,2.5,1,1,845,889,44,7.068959300145283e-8
AL,61,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,4.2,1,1,462,474,12,7.004387933225685e-8
AL,39,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,9.2,1,1,275,299,24,6.989541870729517e-8
AL,25,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,2.2,1,1,245,259,14,7.200723428911431e-8
AL,56,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,86.6,1,1,542,564,22,7.16154221777242e-8
AL,31,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3.3,1,1,875,934,59,7.03715798319814e-8
AL,55,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,8.1,1,1,332,394,62,7.077866936618847e-8
AL,48,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1.05,1,1,467,489,22,7.086785677561955e-8
AL,55,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,3.5,1,0,785,814,29,7.221908782563041e-8
AL,59,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,7.5,1,1,995,1019,24,7.107639334937014e-8
AL,33,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1.5,0,0,332,344,12,7.163666056004703e-8
AL,50,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,11,1,1,215,254,39,7.143529801778605e-8
AL,48,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,36.92,1,1,407,439,32,7.088097970466464e-8
