month_year,price_gas,price_oil,price_prop,month,year,t_month,t
2015-01-01,4.75,2.9231355427222865,2.376,1,2015,148,2015
2015-02-01,5.46,3.30800001331867,2.353,2,2015,149,2015.0833333333333
2015-03-01,3.9,2.974142866656193,2.292,3,2015,150,2015.1666666666667
2015-10-01,3.23,2.4941721690511547,1.909,10,2015,151,2015.75
2015-11-01,2.4,2.414626379480734,1.963,11,2015,152,2015.8333333333333
2015-12-01,2.28,2.2259450605066973,1.996,12,2015,153,2015.9166666666667
2016-01-01,2.8,2.1285641093941896,2.019,1,2016,154,2016
2016-02-01,2.43,2.143296709224243,2.026,2,2016,155,2016.0833333333333
2016-03-01,1.73,2.1696556818756956,2.008,3,2016,156,2016.1666666666667
2016-10-01,2.59,2.4568718011896253,2.059,10,2016,157,2016.75
2016-11-01,2.7,2.4613296769158257,2.077,11,2016,158,2016.8333333333333
2016-12-01,3.5,2.6652051367427374,2.213,12,2016,159,2016.9166666666667
2017-01-01,3.74,2.7145677746908103,2.394,1,2017,160,2017
2017-02-01,3.14,2.718161179820627,2.417,2,2017,161,2017.0833333333333
2017-03-01,2.68,2.6458827904201527,2.39,3,2017,162,2017.1666666666667
2017-10-01,2.06,2.742029309054297,2.344,10,2017,163,2017.75
2017-11-01,2.53,2.902531141702607,2.435,11,2017,164,2017.8333333333333
2017-12-01,3.27,2.9930659420425,2.496,12,2017,165,2017.9166666666667
2018-01-01,4.41,3.3195384722958488,2.598,1,2018,166,2018
2018-02-01,3.02,3.1624798608465907,2.557,2,2018,167,2018.0833333333333
2018-03-01,2.45,3.149743595719916,2.48,3,2018,168,2018.1666666666667
2018-10-01,2.61,3.4303186876852982,2.418,10,2018,169,2018.75
2018-11-01,4.1,3.365611731612921,2.423,11,2018,170,2018.8333333333333
2018-12-01,4.89,3.210263748191996,2.433,12,2018,171,2018.9166666666667
2019-01-01,4.3,3.2670805965696483,2.428,1,2019,172,2019
2019-02-01,4.06,3.320717958621575,2.43,2,2019,173,2019.0833333333333
2019-03-01,3.79,3.3036849909299923,2.397,3,2019,174,2019.1666666666667
2019-10-01,2.15,3.017040298284824,1.845,10,2019,175,2019.75
2019-11-01,2.8,3.05656410939419,1.999,11,2019,176,2019.8333333333333
2019-12-01,3.23,3.1491721690511545,2.011,12,2019,177,2019.9166666666667
2020-01-01,2.91,3.06102198512039,1.994,1,2020,178,2020
2020-02-01,2.16,2.9402637415326605,1.977,2,2020,179,2020.0833333333333
2020-03-01,1.72,2.4594322386278593,1.869,3,2020,180,2020.1666666666667
2020-10-01,2.17,2.1904871847804968,1.801,10,2020,181,2020.75
2020-11-01,2.78,2.326117222898517,1.859,11,2020,182,2020.8333333333333
2020-12-01,2.89,2.5035750986247174,1.97,12,2020,183,2020.9166666666667
2021-01-01,3.03,2.6367033040944268,2.197,1,2021,184,2021
2021-02-01,5.82,2.93804397024078,2.492,2,2021,185,2021.0833333333333
