state,age,i_urban,i_drive_to_work,i_physical_disability,socioeconomic_index,poverty_pct,i_female,i_male,i_grad_college,i_grad_highschool,i_married,i_married_mult,personal_income,personal_nonwage_income,i_health_insurance,i_moved_in_last_year,i_moved_out_of_state_in_last_year,lived_abroad_in_last_year,time_depart,time_arrive,time_commuting,education,ability,weights
AL,42,1,1,FALSE,26.02,464,1,0,0,1,1,1,6.2,0,1,0,0,0,542,549,7,8,3698.0306599346222,2.979156687505347e-7
AL,25,1,1,FALSE,19.56,380,0,1,0,1,0,0,5,0,1,0,0,0,422,439,17,6,218.88069309686398,3.1788012896492667e-7
AL,53,1,1,FALSE,24.95,278,0,1,0,1,1,0,2.5,0,1,0,0,0,635,649,14,8,5185.577527443933,2.9755762812441887e-7
AL,42,0,1,FALSE,47.88,501,1,0,1,1,1,1,7,0,1,0,0,0,452,484,32,11,6928.221964081051,2.930868769616432e-7
AL,35,0,1,FALSE,24.6,155,0,1,0,1,0,0,2.7,0,0,0,0,0,362,379,17,6,770.8803345665327,3.386177860250619e-7
AL,26,0,1,FALSE,53.79,450,0,1,1,1,0,0,4.5,0,1,0,0,0,412,444,32,11,2708.645997021129,2.999775898269211e-7
AL,54,0,1,FALSE,61.07,501,1,0,1,1,1,0,4.15,0,1,0,0,0,437,459,22,10,1309.2898445069186,3.0211134365508247e-7
AL,37,0,1,FALSE,47.88,413,0,1,1,1,1,0,10.54,0,1,0,0,0,422,454,32,10,3608.6248755501456,3.0139844086850814e-7
AL,28,1,1,FALSE,26.39,167,0,1,0,1,1,0,0.6,0,1,0,0,0,905,919,14,7,-1271.184276614753,3.2834146030735807e-7
AL,36,0,1,FALSE,29.13,359,0,1,0,0,1,0,3.3,0,1,0,0,0,382,404,22,6,-1869.007728474172,3.044996724574565e-7
AL,61,0,1,FALSE,21.76,132,1,0,0,1,0,1,1.73,0,1,0,0,0,285,409,124,7,2316.0615680532937,2.9517248159389505e-7
AL,56,0,1,FALSE,26.16,293,0,1,0,1,1,1,1.25,0,1,0,0,0,452,464,12,6,1846.7718627439535,3.004504741604276e-7
AL,78,0,1,FALSE,21.76,147,1,0,0,1,0,1,2.25,0,1,0,0,0,422,439,17,6,-990.947582909333,2.979759748739216e-7
AL,53,0,1,FALSE,66.22,501,0,1,1,1,1,0,9.51,0,1,0,0,0,467,489,22,11,784.91543602823,2.98210776336188e-7
AL,63,0,1,FALSE,17.25,501,0,1,1,1,1,0,9.3,0,1,0,0,0,392,404,12,10,8433.026270444505,2.9598748015688343e-7
AL,30,0,1,FALSE,41.89,280,0,1,0,0,1,0,4.8,0,1,1,0,0,422,429,7,0,-20700.99249064592,2.955214964698612e-7
AL,41,0,1,FALSE,36.03,354,1,0,1,1,1,0,3,0,1,0,0,0,452,464,12,10,3235.8594105574743,2.94127863956422e-7
AL,50,0,1,TRUE,25.45,405,1,0,0,1,1,1,3.4,0,1,0,0,0,392,409,17,6,-2463.664814483218,2.932023632850139e-7
AL,39,0,1,FALSE,13.88,100,1,0,0,0,0,0,1.68,0,0,1,0,0,527,549,22,3,-7051.74971374501,3.196012222211299e-7
AL,49,1,1,FALSE,63.81,492,0,1,0,1,1,0,5.5,0,1,0,0,0,392,424,32,7,-5829.42431973071,2.9518128010890897e-7
AL,59,0,1,FALSE,60.08,316,1,0,1,1,1,0,2.9,0,1,0,0,0,422,454,32,11,1673.1000162223427,2.9378046551079456e-7
AL,38,0,1,FALSE,53.6,501,0,1,1,1,1,0,13.8,0,1,0,0,0,422,444,22,10,2749.6101997731494,3.054601899444916e-7
AL,53,0,1,FALSE,23.65,501,0,1,0,1,1,0,4.58,0,1,0,0,0,407,424,17,6,19.53431445696333,2.9879857538963205e-7
AL,67,1,1,FALSE,15.54,259,0,1,1,1,1,1,3,0,1,1,1,0,452,464,12,10,10165.83015214033,3.0602113839842723e-7
AL,52,0,1,FALSE,32.11,365,1,0,0,0,1,1,0.5,0,1,1,1,0,372,384,12,6,-3003.812752233658,2.980933528969833e-7
AL,24,0,1,FALSE,36.93,15,1,0,0,1,0,0,0.2,0,0,0,0,0,542,564,22,8,611.4707705855326,3.2199872110744736e-7
AL,50,0,1,FALSE,66.22,322,1,0,1,1,0,0,5.4,0,1,0,0,0,452,464,12,10,-1934.9651405537807,2.9389622019885496e-7
